district,mandal,village,unit_name,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,in_online,social_status
Karimnagar,Kothapally,Khazipur,SHRI MANIKANTA ROCKS,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,1.0,20,27/12/2021,31/01/2022,Yet to Start Construction,Yes,OBC
Warangal,Raiparthy,Muripirala,RENUKA POULTRY FARM WITH POULTRY FEED,Food and food processing including fruits and vegetable processing,Food Processing,0.16,4,24/01/2022,31/01/2022,Yet to Start Construction,Yes,OBC
Mahbubnagar,Balanagar,Mothighanapur,DIVYA SAI LAM PRIVATE LIMITED,Ply-board manufacturing (includingVeneer and laminate) with oil firedboiler/ thermlc fluid heater(withoutresin plant),Wood and Leather,2.2,50,25/11/2021,31/01/2022,Yet to Start Construction,Yes,General
Sangareddy,Hathnoora,Borpatla,SRI SEETHA RAMA ANJANEYA PARA BOILED RICE MILL,Parboiled Rice Mills,Food Processing,4.6,45,27/08/2021,31/01/2022,Yet to Start Construction,Yes,General
Sangareddy,Patancheru,Pashamylaram,M/s ASE India,"Formulation/palletization of camphor tablets,naphthalene balls from camphor/ naphthalene powders",Pharmaceuticals and Chemicals,1.65,4,08/01/2022,31/01/2022,Yet to Start Construction,Yes,General
Mancherial,Bheemaram,Bheemaram,M/S. MAHAVEER FLY ASH INTERLOCK BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.11,6,25/01/2022,31/01/2022,Yet to Start Construction,Yes,OBC
Sangareddy,Patancheru,Pashamylaram,GLAND PHARMA LIMITED,Pharmaceuticals,Pharmaceuticals and Chemicals,0.0,775,21/01/2022,31/01/2022,Yet to Start Construction,Yes,General
Sangareddy,Jinnaram,Bollaram,"M/s. ITC Ltd.,PSPD",Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,45.0,0,06/01/2022,31/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,VINAYAK POLYMAT,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,4.0544,40,08/01/2022,31/01/2022,Yet to Start Construction,Yes,General
Mahbubnagar,Balanagar,Mothighanapur,M/S PIHOO MATTRESSES,Foam manufacturing,Pharmaceuticals and Chemicals,1.08,10,06/01/2022,31/01/2022,Yet to Start Construction,Yes,General
Warangal,Parvathagiri,Kalleda,M.s NITHIKA POULTRY FARM WITH POULTRY FEED,Food and food processing including fruits and vegetable processing,Food Processing,0.34,4,22/01/2022,31/01/2022,Yet to Start Construction,Yes,General
Kamareddy,Bichkunda,Bichkunda,VENKATESHWARA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.85,10,29/01/2022,30/01/2022,Yet to Start Construction,Yes,General
Nalgonda,Thirumalgiri,Velchala,M/s SREE GURU DUTTHA GRANITES,Granite / Stone Cutting and Polishing,Others,0.41,6,18/01/2022,30/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Maheswaram,Maheswaram,M/S. DEEPIKA CONSTRUCTIONS,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.0,5,25/01/2022,30/01/2022,Yet to Start Construction,Yes,General
Medchal,Malkajgiri,Malkajgiri,VARUN MOTORS PVT LTD,"Automobile servicing, repairing andpainting (excluding only fuel dispensing)",Engineering,0.24,100,25/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Hanumakonda,Nadikuda,Raiparthy,M/s KARTHIKEYA AGRO TECH MODERN RICE MILL,Parboiled Rice Mills,Food Processing,1.2,25,29/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Narayanpet,Marikal,Chittanur,Jurala Organic Farms and Agro Industries LLP Unit1,Distillery ( molasses / grain /yeast based),Beverages,602.5,500,05/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Jagtial,Kathlapur,Bommena,SRI RAJA RAJESHWARA POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.14,2,19/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Warangal,Narsampet,Gurijala,SRI VENKATESHWARA POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.1,2,20/01/2022,29/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Maheswaram,Mankhal,SOHAIL INDUSTRIES,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,3.1888,20,03/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Hanumakonda,Khaazipet,Ammavaripet,M/S. SRI SRINIVASA SAI CONSTRUCTIONS,Stone crushers,Granite and Stone Crushing,0.25,6,12/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Medchal,Ghatkesar,Pocharam,BHARATI INFRA CONCRETE,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,12,25/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Medchal,Uppal,Nacharam,GEETHA AUTOMATIVE LLP,"Automobile servicing, repairing andpainting (excluding only fuel dispensing)",Engineering,0.25,20,26/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Sangareddy,Jinnaram,Annaram,WATER TECH ENGINEERS,"Liquid floor cleaner, black phenyl, liquid soap, glycerol mono-stearate manufacturing",Pharmaceuticals and Chemicals,0.05,10,13/01/2022,29/01/2022,Yet to Start Construction,Yes,General
